Y
5.990787
5.136826
5.082668
5.351465
5.610866
5.221972
5.252723
4.457826
4.679911
4.56859
10.206647
10.328167
8.362487
7.938754
6.935572
7.452354
7.318955
5.273623
7.132167
6.998734
5.781744
6.052918
6.712704
5.156686
6.264566
5.231622
4.537879
5.111017
5.932404
